Game_ID,Concept_Name,Subgenre_Play_Type,Core_Mechanic,Input_Control,Camera_POV,Structure,Level_Length_s,Session_Target_s_per_day,Fail_Condition,Goal_Type,Difficulty_Ramp,Theme,Visual_Hook,Art_Style,Physics,Haptics,Interstitials_per_min,Rewarded_per_session,Banner_Ads,Meta_Depth,Skins_Cosmetics,Economy,Marketability_Hook,CPI_Target_USD,D1_Target_%,D7_Target_%,Playtime_Target_s,One_Handed,Age_Rating,Offline_Support,Build_Size_Target_MB,Performance_Target_FPS,UA_Creative_Angle,Notes
1,Frost Soar Exploding,Flight,Sorting,One-tap,Top-down 2D,Endless,62,572,Obstacle Hit,Survive T seconds,Stepwise,Nature,Exploding Blocks,Voxel,Exaggerated,No,1.09,2,Yes,Light (skins),Yes,None,Perfect timing,$0.35–$0.60,31,8,1294,Yes,4+ / Everyone,Yes,104,60,Impossible level,Glossy shader for juice
2,Echo Rush Exploding,Runner,Aim & Release,Tap & Hold,Isometric,Level-based,47,708,Timer Expired,Survive T seconds,Linear,Sports,Exploding Blocks,Voxel,Realistic,Yes,0.76,0,No,None,No,None,Color flood,$0.45–$0.80,34,3,468,No,4+ / Everyone,No,70,60,Impossible level,Great for one-thumb play
3,Prism Click Crowd,Arcade Idle,Physics (Bounce/Gravity),Draw Path,First-person,Endless,39,662,Run Out of Fuel,Collect N,Adaptive,Underwater,Crowd Multiplication,Stylized 3D,Exaggerated,Yes,0.63,0,Yes,None,Yes,None,Satisfying slice,$0.35–$0.60,40,8,916,No,4+ / Everyone,No,49,60,Oddly satisfying,Glossy shader for juice
4,Lava Fall Perfect,Physics Dropper,Aim & Release,Tilt/Gyro,Side 2D,Level-based,46,622,Missed Target,3-Star Rating,Adaptive,Abstract/ASMR,Perfect Timing Meter,Minimal 2D,Exaggerated,No,0.55,1,Yes,Light (skins),Yes,None,Perfect timing,$0.45–$0.80,29,8,749,Yes,4+ / Everyone,No,131,60,Before/After,Consider daily gift
5,Crypto Crew Scale,Crowd Runner,Aim & Release,Tilt/Gyro,First-person,Level-based,54,388,Run Out of Fuel,High Score,Dynamic Speed-Up,Urban,Scale Growth,Voxel,Exaggerated,Yes,1.15,0,Yes,None,Yes,None,Giant growth,$0.35–$0.60,34,3,567,Yes,4+ / Everyone,Yes,89,60,Perfect timing,Consider daily gift
6,Quantum Idle Perfect,Arcade Idle,Drilling/Digging,Tap & Hold,First-person,Level-based,66,634,Missed Target,High Score,Dynamic Speed-Up,Abstract/ASMR,Perfect Timing Meter,Flat 2D,Grid/No-Physics,No,0.87,1,Yes,None,Yes,None,Giant growth,$0.25–$0.45,25,6,784,Yes,4+ / Everyone,Yes,111,60,Funny fail,Prototype-friendly scope
7,Solar Fly Juicy,Flight,Aiming,Tilt/Gyro,Isometric,Level-based,60,247,Run Out of Fuel,Get to Finish,Adaptive,Abstract/ASMR,Juicy Paint Fill,Low-poly 3D,Grid/No-Physics,Yes,1.0,1,No,None,No,None,Color flood,$0.25–$0.45,29,10,1157,Yes,4+ / Everyone,No,108,60,Oddly satisfying,Strong color contrast
8,Hyper Beat Juicy,Tap-Timing,Merging,One-tap,3D Third-person,Endless,42,538,Obstacle Hit,Get to Finish,Stepwise,Underwater,Juicy Paint Fill,Low-poly 3D,Exaggerated,Yes,1.0,1,No,Light (skins),Yes,Tokens,Multiplier gates,$0.45–$0.80,30,8,623,Yes,4+ / Everyone,Yes,55,60,Funny fail,Great for one-thumb play
9,Nova Forge Exploding,Builder-lite,Multiplication Gates,Drag,Top-down 2D,Endless,67,871,Obstacle Hit,Get to Finish,Dynamic Speed-Up,Urban,Exploding Blocks,Voxel,Exaggerated,No,0.88,2,No,Medium (progress),No,Tokens,Odd obstacle,$0.25–$0.45,34,7,990,Yes,4+ / Everyone,No,123,60,Satisfying loop,Prototype-friendly scope
10,Quantum Tick Scale,Tap-Timing,Tap Rhythm,Tilt/Gyro,First-person,Level-based,54,912,Obstacle Hit,3-Star Rating,Linear,Space,Scale Growth,Stylized 3D,Realistic,Yes,0.3,1,No,None,Yes,None,Crowd scaling,$0.35–$0.60,33,8,922,No,4+ / Everyone,No,35,60,Before/After,Ensure 60 FPS on low-end
